Target,Tweet,Stance
Atheism,"(2/2) the Father's active goodness and unrestricted love. - Ruthless Trust by Manning.... Lord, may I forever trust your love for me. #SemST",AGAINST
Atheism,Let Your fear come upon every soul in my city -Acts 2:43 #SemST,AGAINST
climate change,I just enjoy sunny days.,NONE
Atheism,The greatest tragedy in life is the prayers that go unanswered because they go unasked. #ghlondon #SemST,AGAINST
Atheism,I am human. I look forward to the extinction of humanity with eager anticipation. We deserve nothing less. #SemST,AGAINST
Feminist Movement,I fell asleep only to have my brother wake me up after hearing noises. I had to be the one to go upstairs and see what it was #SemST,NONE
Donald Trump,Trump should be held accountable for his actions.,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
Hillary Clinton,SO ANYWAYS WHAT DID HE SAY? ANYTHING ABOUT VOTING FOR ME? #OBAMA #ISIS #ISIL #SemST,NONE
Feminist Movement,@NorBdelta HE DESERVED IT FOR BEING PART OF THE DOMINATING SEX CHECK YOUR PRIVILEGE #equality #SemST,FAVOR
Hillary Clinton,If Hillary wins next year it'll be the first time two presidents have had sex with each other #SemST,NONE
Legalization of Abortion,"Natural family planning isn't ""planning"" at all since it just doesn't work. #SemST",AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Atheism,"Heaven and earth will pass away, but My words will not pass away. Matthew 24:35 #Tworship #SemST",AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
climate change,There is no solid proof that climate change is real.,AGAINST
Feminist Movement,"EEWWW! Drawing attention to women's health issues like breast, ovarian, and uterine cancer?!!? #feminismiscruelty #SemST",AGAINST
Atheism,"Proud to be #TeamJinnah :) No Bhutto, no Imran's , only Jinnah's Pakistan :) #Inclusive #SemST",AGAINST
Atheism,"If Jesus is present, it is impossible for your situation/environment to remain a desolate place! #Joy #Victory #NewThings #SonTalk #SemST",AGAINST
Feminist Movement,"Other people may hate #feminists, but at least they don't hate the opposite sex.   #feminist #sexism #SemST",AGAINST
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Legalization of Abortion,Only one can have bodily autonomy #SemST,FAVOR
Legalization of Abortion,"AmandaKayHowell: Dear to who it may concern;""YOU stand up for my right to live.   #Baby #murder #RightToLife #unborn #wo... #SemST",AGAINST
Atheism,Proverbs 28:5 (KJV) Evil men understand not judgment: but they that seek the Lord understand all things. #heart #SemST,AGAINST
Feminist Movement,You're stupid & mens rights is nothing - I love you Leslie Knope. @parksandrecnbc #MRA #mensrights #lol #SemST,AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
Feminist Movement,"If a man wants abortion but the woman wants to keep it, why on earth should he pay for child support? #doublestandards #SemST",AGAINST
Hillary Clinton,The recent comments of #HillaryClinton sounded like it was #Netanyahu speaking. Doesn't bode well. #SemST,AGAINST
Hillary Clinton,.@HillaryClinton is a liar & corrupt.  Period. End of story.  #criminal #liar #hillaryforprison #uppers #tcot #SemST,AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
Donald Trump,Donald Trump is making America great again!,FAVOR
Feminist Movement,"Don't tell me what to do and what not to do. Now come here, let me tell you what a real man is.   #hypocrites #SemST",AGAINST
Legalization of Abortion,Every year I see #rally4life ads & think 'that sounds great!' Stop tricking me into thinking you want sth positive! #repealthe8th #SemST,AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
climate change,I just enjoy sunny days.,NONE
climate change,Climate change is the biggest threat to our future.,FAVOR
Donald Trump,Donald Trump is making America great again!,FAVOR
Legalization of Abortion,RT DavidHarris707: MathewsJeanne Thank you 4 your very #kind RT. God Bless You #Patriot. #babies matter #SemST,AGAINST
Donald Trump,I don’t really care who’s president.,NONE
Hillary Clinton,@AC360 asked @realDonaldTrump the tough questions.  Too bad @CNN didn't ask @HillaryClinton the tough questions.  #SemST,AGAINST
Legalization of Abortion,Our #TruthTour continues in #CarletonPlace as we show the graphic truth of abortion 2 traffic & pedestrians! #ShowTheTruth #onpoli #SemST,AGAINST
Atheism,"As opposed to how the media portrays him,the pope is a religious wacko just like any of them and still supports bigotry & misogyny #SemST",FAVOR
Atheism,May the Gods grant me many more freelance gigs in PDX #intention #SemST,AGAINST
Atheism,Life's just like a test to sort out the best from the unfit rest. #adversity #evolution #Heaven #Nirvana #Valhalla #SemST,NONE
Atheism,By faith we receive what Christ did for us and we repent to show that we have received what He did. #repentance #atonement #SemST,AGAINST
Donald Trump,I don’t really care who’s president.,NONE
Donald Trump,Politics are confusing these days.,NONE
Feminist Movement,"Just like book-burning for ANGRY religious people, ANGRY feminists like to burn whatever looks like free speech. #SemST",AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
Feminist Movement,"Seriously considering writing an article on the ban of school skirts at a secondary school, any thoughts would be appreciated :) #SemST",NONE
Atheism,He became a slave to the cross that men could go free! #SemST,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Legalization of Abortion,"I'm kind of scared for the elderly in our country. In a few years, we'll be aborting them too. #americathesocialist #SemST",AGAINST
Feminist Movement,Internalized misogyny is awful! People who have conflicting opinions to my own should be dead because I'm an Authoritarian #SemST,AGAINST
Hillary Clinton,"Hillary has flipped yet again, and is now pro-sanctuary cities. #SemST",AGAINST
Feminist Movement,I'm flabbergasted that #feminist are pointing out little things that No one gives a fuck about & cause am uproar #SemST,AGAINST
Feminist Movement,I'm a co-omnipotent-faux-fallacious-poly-concupiscent-inter-equanimity feminist now.   you may bow to me. #SemST,AGAINST
Legalization of Abortion,Antis don't care because the only people the laws are hurting are females and they don't care about things that don't effect men #SemST,FAVOR
Feminist Movement,"Celebrities, please stop declaring yourselves ""not a feminist"" and coloring it with a different term. #equality #samething #SemST",FAVOR
climate change,Climate change is a hoax made up to control us.,AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
Feminist Movement,"The more you push me, the more I resist. Don't bother #strongwomen #women #SemST",FAVOR
Feminist Movement,If men and women were equal I could sleep with multiple men and wouldn't be hoe. #IAmAFeminist #SemST,AGAINST
Atheism,"With #SCOTUS done, It's time for @boyscouts to stop their bigoted practice of rejecting #LGBT scouts at age 18.  #EqualityForAll #SemST",NONE
Hillary Clinton,@nytimes But throws a rope around reporters and free speech.  #HillaryInNH #SemST,AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Hillary Clinton,"Tea Party Nation, Tea Party group listed by Southern Poverty Law Center as hate group. The Tea Party is The NEW Aryan Nations #SemST",NONE
Atheism,The #humanist church is the new cloth. #kissTheRing #tcot #SemST,AGAINST
Atheism,2 pretty sisters are dancing with cancered kid   #SemST,NONE
climate change,We must act immediately to combat climate change.,FAVOR
Feminist Movement,When women spend too much time out of the kitchen they get over opinionated and think they know everything #feminist #SemST,AGAINST
Atheism,Watch @Dame_Lillard bring the Blazers to the playoff #Beast #SemST,AGAINST
Legalization of Abortion,.@JohnTory since when did Toronto become a weak city? Bullied by stone-age cab companies that block traffic illegally. #TO4Uber #SemST,NONE
Donald Trump,I don’t really care who’s president.,NONE
climate change,We must act immediately to combat climate change.,FAVOR
Atheism,"Who cares if this person or that person is xtian or atheist. Polpott, hitler or mao.   God still does not exist.   #SemST",AGAINST
Legalization of Abortion,@FaceTheNation @nytimes where is #SilencedDiscourse for @TheDemocrats #Divisions on #SchoolChoice #Taxes #DoubleStandard #Biased #SemST,AGAINST
Hillary Clinton,Dana made this shirt w/ lots of #glitter! #awesome #decoration #SemST,NONE
Feminist Movement,@WALKAFLOCKKAA @kasscheeks @WeNeedFeminlsm they all acting like they lived through medieval times and shit #SemST,AGAINST
Hillary Clinton,"@irritatedwoman She lied under oath before, why trust her to speak the truth now? #SemST",AGAINST
Atheism,@SaberinZe @TheBricsPost absurd like saying #nato membership will help #Russia #Pakistan is #islamist can't be friend of #india #SemST,NONE
Feminist Movement,A wOMAN?? Wanting to be EQUAL to a MAN???!?! What monstrosity is this?!??!!!? #SemST,AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Legalization of Abortion,"Woman's Heartbreaking Letter to Father of Baby She Aborted: ""I'm So Very Sorry - LifeNews. Please pray for the men hurt by abortion #SemST",AGAINST
Hillary Clinton,@LMdonney @HillaryClinton Thank you Carol 4your support and work in pursuit of electing @HillaryClinton POTUS.  #ITrustHillary #SemST,FAVOR
Feminist Movement,Feminist actually complained about the Facebook icon......... #SemST,AGAINST
Legalization of Abortion,Watch out for censorship in your news and media! #politicalrevolution #immigration #RedNationRising #Constitution #CorruptMedia #SemST,NONE
climate change,We must act immediately to combat climate change.,FAVOR
Feminist Movement,@femfreq I don't understand why all these nerds hate you so much. I would love to do the nasty with you sexy #GamerGate #feminist #SemST,FAVOR
Atheism,"AtheistQ ""God's guidance is the only excuse for a man who can't find a better justification for his actions. #SemST",FAVOR
Legalization of Abortion,@BuhayIpaglaban @laurawrpie @JaxLeSigh Like I said I'm glad this medical procedure is around so that pregnant people stay healthy. #SemST,NONE
Donald Trump,Politics are confusing these days.,NONE
Atheism,When we have done all in our power that the Lord will find a way to open doors. - Spencer W. Kimball #courage #hope #SemST,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Hillary Clinton,@thehill Who's in charge of Hillary's campaign? Please get it under control and on message. #smh #SemST,AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
Legalization of Abortion,@JonathaASwift @TomAdams9999 They  are BOTH alive & human from conception Just earlier phase of life's continuum! @chooseliferacer #SemST,AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
Legalization of Abortion,The #rally4life  shows yet again what little support these people have.  #repealthe8th #SemST,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Atheism,@aigkenham @ATHE1STP0WER compromise your intentional ignorance all the way to freedom from religion. The best plan ever! #SemST,AGAINST
climate change,Weather has always changed over time.,NONE
Hillary Clinton,"@MarkBratlien Hi Mark, thank you so much for your follow, may God bless you and yours.  #freeallfour #SemST",NONE
Feminist Movement,Girls are such animals. All they want is sex . I just want to be closer to God. #SemST,AGAINST
climate change,I just enjoy sunny days.,NONE
Feminist Movement,@ZachCityy @aribentz Dad I'm running away n never coming back!!! #fuck12 #SemST,NONE
climate change,Climate change is a hoax made up to control us.,AGAINST
Hillary Clinton,@CNN One would hope everyone would be fired up over such a blatant lie #SemST,AGAINST
Feminist Movement,@coffey_cake4 @DailySexSupply too bad idgaf about #SemST,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
Atheism,"I love God  but ""We get raped in life by demons and then judged for being negative and complaining"" by Christians. #God #SemST",AGAINST
Feminist Movement,"Men are from Earth, women are from Earth. Deal with it.  - George Carlin #QuotesOfTheDay #EqualityForAll #equality #SemST",FAVOR
Donald Trump,Politics are confusing these days.,NONE
Legalization of Abortion,"I'm against abortion, gay marriage, AND Donald Trump for President. #gaymarriage #DonaldTrump #SemST",AGAINST
Feminist Movement,"If your shampoo has more shit in it, you have to pay more. The pink tax is a farse. #pinktax #SemST",AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Legalization of Abortion,Was at the planned parenthood protest in #fitchburg today with the image of Our Lady of America #catholic #SemST,AGAINST
Atheism,he better chill with them retweets #SemST,NONE
Donald Trump,Donald Trump is making America great again!,FAVOR
climate change,Climate change is a hoax made up to control us.,AGAINST
Atheism,Jesus response to a religious environment  was to create a royal environment.  It drove people nuts. Still does - thank God #SemST,AGAINST
climate change,Weather has always changed over time.,NONE
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Legalization of Abortion,@Independent_ie No one has 5he right to tell any person what they should do with their body #SemST,AGAINST
Feminist Movement,It's incredibly easy to identify shitty females with a poor view on the world and what's important thanks to #SemST,AGAINST
Legalization of Abortion,Oh you dont like that Im Pro-choice.  Pftt. Dont try to force me to be pro-life. Fuck off   #sorrynotsorry #SemST,FAVOR
Hillary Clinton,I dislike our idiots as much as I dislike theirs. #SemST,NONE
climate change,Climate change is the biggest threat to our future.,FAVOR
Feminist Movement,Evidence of the fossil record to creationists is the evidence against the wage gap to feminists.   #GamerGate #SemST,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
climate change,I just enjoy sunny days.,NONE
Donald Trump,Politics are confusing these days.,NONE
Hillary Clinton,@rhhhhh380 What we need to do is support all Republicans and criticize the opposition. #SemST,AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
Feminist Movement,I need feminism because:  A man in a room full of women is ecstatic. A woman in a room full of men is terrified. #SemST,FAVOR
Donald Trump,Donald Trump is making America great again!,FAVOR
climate change,There is no solid proof that climate change is real.,AGAINST
Donald Trump,Politics are confusing these days.,NONE
Legalization of Abortion,PRAYERS FOR BABIES Urgent prayer one in Lexington KY&two in Dallas TX&in Chattanooga TN  Life begins at conception  #SemST,AGAINST
Feminist Movement,Feel things will truly be equal in marriage when I see jock strap tossed to the 'single women' a weddings alongside the garter #SemST,AGAINST
Hillary Clinton,@TheAtlantic cause  #Hillary Clinton is a LYING THEIVING CUNT  #SemST,AGAINST
Feminist Movement,We cannot succeed when half of us are held back. Malala Yousafzai #SmartGlamour #feminist #yesallwomen #equality #SemST,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Donald Trump,I don’t really care who’s president.,NONE
Hillary Clinton,@SenSanders bashes Obama job numbers.Calling it a lie. #istandwithPresidentObama #VoteBlue2016 #HillaryClinton #Democrats #SemST,FAVOR
Hillary Clinton,"Beware of #Kochtrolls bashing our candidates. I will not bash #Hillary. She's my plan B, for gosh sakes. #Bernie2016 #SemST",AGAINST
Legalization of Abortion,There should be no law or funding which justifies the murder of innocent life.   #CCOT #pjnet #SemST,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Donald Trump,Politics are confusing these days.,NONE
Feminist Movement,"Why fight for gender equality, you ask? 'Cause I listen to shitty women claim they are above the law & watch innocent men drown. #SemST",AGAINST
Atheism,Bless those with a broken soul #SemST,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Atheism,Azerbaijan: Pray for President Ilham Aliyev's salvation. #vom #pray #SemST,AGAINST
Legalization of Abortion,@DaRealMonieLove or these dumb anti-abortion #showthetruth assholes who sit on Canadian streets with inaccurate disturbing pics! #SemST,FAVOR
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Donald Trump,I don’t really care who’s president.,NONE
Hillary Clinton,@Braidleigh 2016 is the due year for possible revolution.  The water has yet to boil over. #BetOnRed #PatriotsWillRise #SemST,NONE
Atheism,"IF GOD BROUGHT YOU TO IT , HE'LL BRING YOU THROUGH IT. #GODKNOWS #WHATHEDOING #BEPATIENT #TRUSTANDBELIEVE #SemST",AGAINST
climate change,Weather has always changed over time.,NONE
Feminist Movement,The shaming we do around celebrity choices in photoshoots is highly related to the principles behind #SemST,NONE
Feminist Movement,@saltwaterpop I like your attitude a lot tho #SemST,NONE
Hillary Clinton,@CNNPolitics @PoliticalAnt @moody this is beautiful #oops #SemST,NONE
Hillary Clinton,Democrats want power for themselves. Republicans will give YOU the power! #Election2016 #SemST,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Feminist Movement,The Office Cinderella: When a female is considered as not-giving-100%-to-work because she comes and leaves office on time. #women #SemST,FAVOR
Feminist Movement,A fictional character been raped and abused oppress me. Censor pls!! #thisoppresseswomen  #SemST,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Legalization of Abortion,@nosilentsprings And an even worse place from which to make medical decisions FOR OTHER PEOPLE #mybodymychoice #notyours #notgovt #SemST,FAVOR
Hillary Clinton,"@jjauthor Janie, I am honored to be followed by you, thank you and God bless you.  #freeallfour #SemST",NONE
Hillary Clinton,Controlling #illegalimmigration is Now Racist According to @ChrisCuomo #NewDayCNN  Let's Bash #Trump ALL Day AGAIN #morningjoe #SemST,NONE
Hillary Clinton,Only @theDemocrats want #crimigrants running amok in U.S. Cities.   #CancerIsProgressive #SemST,AGAINST
Atheism,"Come to me, all you who are weary and burdened, and I will give you rest. - Matt 11:28 #Rest #Peace #Scripture #Bible #SemST",AGAINST
Legalization of Abortion,Those who deny women who've been raped abortion are the same ppl who tell rape victims they asked for it. #rape #SemST,AGAINST
Feminist Movement,@BOZARbrussels is this how @UN_Women sees #genderequality ? Only #women with arms like #men ? #stopmarriagebill #fakecases @UN #SemST,AGAINST
Legalization of Abortion,Pro-life laws only effect women so anti choicers are fine with these laws because the laws are only hurting are females  #SemST,FAVOR
Legalization of Abortion,"As a man, the only body I should have a say in is my own. #repealthe8th #rally4life #SemST",AGAINST
Atheism,A Godly husband  - knows you - trusts you - loves you - respects you - honors you - supports you - wants you - appreciates you #God #SemST,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Atheism,Praise and thank God for everything in your life today. #grateful #SemST,AGAINST
Atheism,"As always, please remember: fuck Harper, fuck conservatives , fuck religion #fuckharper #NDP  #fuckcons #SemST",FAVOR
Feminist Movement,Tonight I got called 'the one with the great rack' and I felt empowered because objectification exists for both sexes #SemST,AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Legalization of Abortion,I'm really pissed off by vaccines mandates. It's not ok to force parents to inject their kids when there might be consequences. #SemST,NONE
Feminist Movement,"If Feminism wants equal rights as men  they must so advocate for equal prison time and losing custody rights, which they won't do! #SemST",AGAINST
climate change,I just enjoy sunny days.,NONE
Atheism,I officiate #humanist & most #nonreligious weddings-starting at $99. Ask me about #student discounts! #216 #celebrant #weddings #SemST,AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Feminist Movement,"#RapeCulture is leaving your new/used car in the worst neighborhood, doors wide open & not to expect #CarTheftCulture #SemST",AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Feminist Movement,The stupidity of feminists is fucking hilarious! #sorrynotsorry #SemST,AGAINST
climate change,Weather has always changed over time.,NONE
Legalization of Abortion,@notmuchelse But of course today one doesn't have to be responsible You can kill your child instead! #SemST,AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Legalization of Abortion,So the #Democrats tore down their OWN #ConfederateFlag NOW if they get rid of THEIR #KKK #blackpanthers #alsharpton #hate #SemST,NONE
Atheism,"God is good all the time, all the time God is good #unconditionallove #SemST",AGAINST
Hillary Clinton,"If Hillary Clinton is elected president in 2016, this nation will surely experience unprecedented destruction. #SemST",AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Hillary Clinton,"The blacks cant admit that O is a failure. No, we dont need another affirmative action president #Obama #communism #SemST",NONE
climate change,Climate change is the biggest threat to our future.,FAVOR
climate change,We must act immediately to combat climate change.,FAVOR
Legalization of Abortion,Al Robertson's mom #DuckDynasty  chose life as an unwed 16 year old. #SemST,AGAINST
Feminist Movement,I thought you would like it @AceofSpades14 #feminist #SemST,AGAINST
Donald Trump,Politics are confusing these days.,NONE
Donald Trump,Donald Trump is making America great again!,FAVOR
Hillary Clinton,@_Holly_Renee I want to fav this tweet....cause it's hilarious. But I give no support to #HillaryClinton #SemST,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
climate change,We must act immediately to combat climate change.,FAVOR
Feminist Movement,Too many empty compliments are a waste of time unless you are a professional narcissist or a feminist.  #GamerGate #SemST,AGAINST
Atheism,@MuhammadAli except for your belief in Allah. Gods are imaginary. Love and humanity are real. I love you. Be well and take care. #SemST,FAVOR
Atheism,@ACLU Get rid of religion... and all this will go away overnight... #humanist #egalitarian #SemST,FAVOR
Legalization of Abortion,Babies are humans to support the prolife movement #SemST,AGAINST
Hillary Clinton,"I'm 72 yrs old and ever since I was 6 yrs old I wanted to live long enough to see a woman President - Jim from Monticello, IA #SemST",AGAINST
Feminist Movement,"@mraguyot Yup, way more than I would ever buy, but hey, something for everybody.   #antifeminism #antiSJW #MGTOW #SemST",AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Hillary Clinton,"Hillary has sacrificed more Ambassadors, told more lies, hid and destroyed more evidence... The beat goes on,,, @McSadie #SemST",AGAINST
Legalization of Abortion,"@_msthirdward @BuhayIpaglaban @blueskies366 It's never been about ""life"" has it? ""#Prolife"" are OK with women dying. #SemST",AGAINST
Hillary Clinton,It's a beautiful day for phone banking at the Hill House on 1529 Richland Street! Join us tonight at 6PM! @HillaryforSC #SemST,FAVOR
Donald Trump,I don’t really care who’s president.,NONE
Legalization of Abortion,"RT @freesafelegal: ""Why does the government not hold a referendum on abortion?"" asks UN CESCR Mbr Pillay #UNIRL #SemST",AGAINST
Feminist Movement,"@alias_burgerboy @craigspissed @forthleft infanticide, child to parent abuse, sibling abuse, abuse against  males, LGBT DV #SemST",AGAINST
Atheism,We often talk of unbelief as if it were an affliction to be pitied instead of a crime to be condemned. - Charles Spurgeon #GOD #SemST,AGAINST
Legalization of Abortion,"RT @RandForeman: It's so easy to be Pro-Choice, especially when you're not the one getting your skull crushed. #SemST",AGAINST
Legalization of Abortion,@BuhayIpaglaban Bullshit multiplied by bullshit is still bullshit. #SemST,AGAINST
Feminist Movement,I'll eat mac and cheese out of your front hole but only if you ask first #SemST,NONE
Donald Trump,Donald Trump is making America great again!,FAVOR
Atheism,Sometimes it's the broken heart that finds the truest path to love. #SemST,NONE
Feminist Movement,Why would they have girl dragons in dragonvale? #SemST,NONE
Atheism,RT @br_holden: Religions are perfectly happy to peddle an afterlife that doesn't actually exist.  #freethinker #SemST,AGAINST
Feminist Movement,Lol feminist don't complain about how men get less clothing options at stores. (When they say there for gender equality) #SemST,AGAINST
Legalization of Abortion,Reading law cases on abortion rulings from the past 100 years is exhausting! #research #workhard #work #publichealth #SemST,AGAINST
Feminist Movement,"It's a problem when explaining feminism, even in a calm & complex level, cannot be understood. #feminist #respect #EqualityForAll #SemST",FAVOR
Legalization of Abortion,"@PrevailChris Sexual Assault is Epidemic.. Not just in Military, Colleges, Universities. Fight 2 Stop this Crime=Less Need 4 #SemST",AGAINST
climate change,I just enjoy sunny days.,NONE
Legalization of Abortion,"Yea, let's make a woman suffer 18 years and raise a child with an unfit parent who hates it because of ""morality"". #SemST",FAVOR
climate change,Climate change is a hoax made up to control us.,AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
Legalization of Abortion,"The teen pregnancy rate has declined 51 percent, and the teen birth rate is down 57 percent. #SemST",NONE
Feminist Movement,Ask her father for her hand in marriage. How language reinforces patriarchy. She is his property. And mom? #equality #SemST,AGAINST
Atheism,The Irish national school system is secular under law. We can reaffirm secularism by going through the courts! @HumanismIreland #SemST,AGAINST
Atheism,"Heb 10:12  this man, after he had offered one sacrifice for sins for ever, sat down on the right hand of God; #bible #SemST",AGAINST
climate change,I just enjoy sunny days.,NONE
Legalization of Abortion,Pro Choice? Just choose to kill yourself after your baby is born. #SemST,AGAINST
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Donald Trump,Politics are confusing these days.,NONE
Legalization of Abortion,Does the Gay Community support Abortion? #ProLifeYouth #LGBTPrideMonth #SemST,AGAINST
Hillary Clinton,"@szabosolicitors Thanks for the follow counselor, may God bless you and your family !  #freeallfour #SemST",NONE
Hillary Clinton,Technology has exposed more bad politicians than bad cops....Where Is Our Server Hillary? #CNN #SemST,AGAINST
Legalization of Abortion,"We declare that all people have worth and value even if the whole world calls them ""unwanted""! #SemST",AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Legalization of Abortion,Anti choice laws only effect women.  People don't care about things that don't effect men #SemST,FAVOR
Feminist Movement,"There really are days when I'm ashamed to admit I share gene's with some people, today is one of those days. #SemST",NONE
Donald Trump,I don’t really care who’s president.,NONE
Legalization of Abortion,@AndySwan lol.  I don't know about that.  #schoolprayer #GovtEndorsementOfHeterosexualMarriage #SemST,NONE
Atheism,What really builds a relationship is when we relate to what we don't understand about God.  #Emunah #SemST,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Legalization of Abortion,Happy July 4th- freedom day! Let liberty ring out! #freedom #Faith #Jesus #REVIVAL #Life #tcot #SemST,AGAINST
Feminist Movement,2015 is the year of the uterus #sheBELIEVES #WWC2015 #SemST,AGAINST
Legalization of Abortion,"@nytimes while you are at it, eliminate all drugs, cars, planes, food, electricity, and anything else that MAY cause a death. #SemST",NONE
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Legalization of Abortion,@__Porky @P226_Sig @_HankRearden @jrmadmen @aemdee who is for it. I'm not. But am for a women's right to her own body. #SemST,FAVOR
climate change,Weather has always changed over time.,NONE
Donald Trump,I don’t really care who’s president.,NONE
Legalization of Abortion,Today is a great because we are alive. #SemST,NONE
climate change,Weather has always changed over time.,NONE
climate change,Climate change is the biggest threat to our future.,FAVOR
Hillary Clinton,"@FaithWarJournal Thank You for the follow, may God bless you all !  #freeallfour #SemST",NONE
Atheism,@truthway_eng  Jesus commands you to follow Acts 2:38-39 to be saved. #christian #christ #Mary #Bible #church #trinity #usa #uk #aus #SemST,AGAINST
Legalization of Abortion,"You can't give the ""death penalty"" to something not living sentient or autonomous #WarOnWomen #roe42 #reprohealth #SemST",FAVOR
Donald Trump,Donald Trump is making America great again!,FAVOR
Hillary Clinton,"@HillaryClinton Wow, #HillaryClinton looks very fat in that pants suit. #liberals #tlot #Democrats #SemST",AGAINST
Legalization of Abortion,"In 1776 we killed the conservatives, freed ourselves from that crap #rightwing #Christian #ChurchState #Tyranny. #Uniteblue #tcot #SemST",AGAINST
climate change,Weather has always changed over time.,NONE
Feminist Movement,iamNovaah: RT ChrzOC: Bitches be running wild...  # # # # #   #feminazi  #feminonsence   #brosb4hos #F4F #R... #SemST,AGAINST
Atheism,Where will you be when @NewHorizons2015 flies by Pluto? #NewHorizons #PlutoFlyby #Pluto #EndRacism #EndSexism #EndReligion #Peace #SemST,FAVOR
Atheism,Religious holidays should not be public. #RightsAndRecourse #Transformation #SemST,AGAINST
Atheism,Had a great time @ worship rehearsal.Cant wait till Sunday ! #bridgechurch2015 #bridgelaunchteam #Willacycounty #weloveyou #SemST,AGAINST
Donald Trump,Politics are confusing these days.,NONE
Atheism,RT @faithsns716: Psalm103:3-Who forgives all your iniquities; who heals all your diseases #SemST,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
climate change,I just enjoy sunny days.,NONE
Feminist Movement,Putting the air conditioners in while wearing a sundress because #SemST,NONE
Feminist Movement,"Now, I understand your a feminist and think that's adorable, but this grow up time and I'm the man here so run along. #SemST",AGAINST
Legalization of Abortion,@MetalheadMonty @tom_six I followed him before I watched human centipede 3.....i now hope never makes another film again #SemST,NONE
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Legalization of Abortion,Every1 needs 2 c @Rick_Reyna & @rallysforchrist's movie #TheRallyLA. It's life transforming. #drugs #forgive #SWBC2015 #Salvation #SemST,AGAINST
climate change,I just enjoy sunny days.,NONE
